Columna,Media,Mediana,Desvío estándar
Close,255.5258453825091,295.08922914,161.3557399416849
Marketcap,3168638541.355521,3697226540.33,2062797398.743183
Volume,502342071.96329755,369355828.08,451896171.99611545
